Title,Release date,Runtime,Language
"Hello, Privilege. It's Me, Chelsea","September 13, 2019",1 h 4 min,English
Los Tigres del Norte at Folsom Prison,"September 15, 2019",1 h 4 min,Spanish
Birders,"September 25, 2019",37 min,Spanish
Ghosts of Sugar Land,"October 16, 2019",21 min,English
Tell Me Who I Am,"October 18, 2019",1 h 25 min,English
Dancing with the Birds,"October 23, 2019",51 min,English
It Takes a Lunatic,"October 25, 2019",2 h 6 min,English
A 3 Minute Hug,"October 28, 2019",28 min,Spanish
Fire in Paradise,"November 1, 2019",39 min,English
"Bikram: Yogi, Guru, Predator","November 20, 2019",1 h 26 min,English
"Lorena, Light-Footed Woman","November 20, 2019",28 min,Spanish
After the Raid,"December 19, 2019",25 min,Spanish
El Pepe: A Supreme Life,"December 27, 2019",1 h 13 min,Spanish
Miss Americana,"January 31, 2020",1 h 25 min,English
A Life of Speed: The Juan Manuel Fangio Story,"March 20, 2020",1 h 32 min,Spanish
Crip Camp: A Disability Revolution,"March 25, 2020",1 h 48 min,English
LA Originals,"April 10, 2020",1 h 32 min,English
Circus of Books,"April 22, 2020",1 h 26 min,English
A Secret Love,"April 29, 2020",1 h 22 min,English
Murder to Mercy: The Cyntoia Brown Story,"April 29, 2020",1 h 37 min,English
Becoming,"May 6, 2020",1 h 29 min,English
Have a Good Trip: Adventures in Psychedelics,"May 11, 2020",1 h 25 min,English
Spelling the Dream,"June 3, 2020",1 h 23 min,English
One Take,"June 18, 2020",1 h 25 min,Thai
Disclosure: Trans Lives on Screen,"June 19, 2020",1 h 47 min,English
Athlete A,"June 24, 2020",1 h 44 min,English
Mucho Mucho Amor: The Legend of Walter Mercado,"July 8, 2020",1 h 36 min,English
We Are One,"July 14, 2020",1 h 26 min,French
Father Soldier Son,"July 17, 2020",1 h 40 min,English
The Speed Cubers,"July 29, 2020",40 min,English
Anelka: Misunderstood,"August 5, 2020",1 h 34 min,French
Rising Phoenix,"August 26, 2020",1 h 46 min,English
My Octopus Teacher,"September 7, 2020",1 h 25 min,English
The Social Dilemma,"September 9, 2020",1 h 34 min,English
Hope Frozen: A Quest to Live Twice,"September 15, 2020",1 h 20 min,Thai
GIMS: On the Record,"September 17, 2020",1 h 36 min,French
American Murder: The Family Next Door,"September 30, 2020",1 h 22 min,English
Dick Johnson Is Dead,"October 2, 2020",1 h 30 min,English
David Attenborough: A Life on Our Planet,"October 4, 2020",1 h 23 min,English
Bigflo & Oli: Hip Hop Frenzy,"October 8, 2020",1 h 40 min,French
Blackpink: Light Up the Sky,"October 14, 2020",1 h 19 min,Korean
The Three Deaths of Marisela Escobedo,"October 14, 2020",1 h 49 min,Spanish
Rooting for Roona,"October 15, 2020",41 min,Bengali
Guillermo Vilas: Settling the Score,"October 27, 2020",1 h 34 min,Spanish
Secrets of the Saqqara Tomb,"October 28, 2020",1 h 54 min,English
Shawn Mendes: In Wonder,"November 23, 2020",1 h 23 min,English
Dance Dreams: Hot Chocolate Nutcracker,"November 27, 2020",1 h 20 min.,English
Emicida: AmarElo – It's All For Yesterday,"December 8, 2020",1 h 29 min,Portuguese
Giving Voice,"December 11, 2020",1 h 30 min,English
The Minimalists: Less Is Now,"January 1, 2021",53 min,English
Tony Parker: The Final Shot,"January 6, 2021",1 h 38 min,French
"Crack: Cocaine, Corruption & Conspiracy","January 11, 2021",1 h 29 min,English
What Would Sophia Loren Do?,"January 15, 2021",32 min,English
"Strip Down, Rise Up","February 5, 2021",1 h 52 min,English
Pelé,"February 23, 2021",1 h 48 min,Portuguese
Biggie: I Got a Story to Tell,"March 1, 2021",1 h 37 min,English
Operation Varsity Blues: The College Admissions Scandal,"March 17, 2021",1 h 39 min,English
Seaspiracy,"March 24, 2021",1 h 29 min,English
Dolly Parton: A MusiCares Tribute,"April 7, 2021",55 min,English
Why Did You Kill Me?,"April 14, 2021",1 h 23 min,English
Chadwick Boseman: Portrait of an Artist,"April 17, 2021",21 min,English
Searching for Sheela,"April 22, 2021",58 min,English
Nail Bomber: Manhunt,"May 26, 2021",1 h 12 min,English
Breaking Boundaries: The Science of Our Planet,"June 4, 2021",1 h 13 min,English
Kitty Love: An Homage to Cats,"June 5, 2021",1 h,Dutch
Murder by the Coast,"June 23, 2021",1 h 28 min,Spanish
Sisters on Track,"June 24, 2021",1 h 36 min,English
Audible,"July 1, 2021",38 min,English
Private Network: Who Killed Manuel Buendia?,"July 14, 2021",1 h 40 min,Spanish
Pray Away,"August 3, 2021",1 h 41 min,English
Shiny_Flakes: The Teenage Drug Lord,"August 3, 2021",1 h 36 min,German
Untold: Malice at the Palace,"August 10, 2021",1 h 9 min,English
Untold: Deal with the Devil,"August 17, 2021",1 h 17 min,English
Memories of a Murderer: The Nilsen Tapes,"August 18, 2021",1 h 25 min,English
Untold: Caitlyn Jenner,"August 24, 2021",1 h 9 min,English
"Bob Ross: Happy Accidents, Betrayal & Greed","August 25, 2021",1 h 33 min,English
Untold: Crimes & Penalties,"August 31, 2021",1 h 26 min,English
Untold: Breaking Point,"September 7, 2021",1 h 19 min,English
Blood Brothers: Malcolm X & Muhammad Ali,"September 9, 2021",1 h 36 min,English
The Women and the Murderer,"September 9, 2021",1 h 32 min,French
Schumacher,"September 15, 2021",1 h 52 min,English
My Heroes Were Cowboys,"September 16, 2021",23 min,English
Britney vs Spears,"September 28, 2021",1 h 33 min,English
Convergence: Courage in a Crisis,"October 12, 2021",1 h 53 min,English
Making Malinche: A Documentary by Nacho Cano,"October 12, 2021",1 h 29 min,Spanish
Found,"October 20, 2021",1 h 38 min,English
Flip a Coin – One OK Rock Documentary,"October 21, 2021",1 h 45 min,Japanese
Lords of Scam,"November 3, 2021",1 h 45 min,French
A Cop Movie,"November 5, 2021",1 h 47 min,Spanish
Procession,"November 19, 2021",1 h 58 min,English
Angèle,"November 26, 2021",1 h 24 min,French
14 Peaks: Nothing Is Impossible,"November 29, 2021",1 h 41 min,English
Lead Me Home,"November 30, 2021",40 min,English
137 Shots,"December 15, 2021",1 h 45 min,English
Puff: Wonders of the Reef,"December 16, 2021",1 h 2 min,English
Three Songs for Benazir,"January 24, 2022",22 min,Pashto
The Tinder Swindler,"February 2, 2022",1 h 54 min,English
Downfall: The Case Against Boeing,"February 18, 2022",1 h 29 min,English
11M: Terror in Madrid,"February 23, 2022",1 h 32 min,Spanish
Surviving Paradise: A Family Tale,"March 3, 2022",1 h 19 min,English
Broken Idol: The Undoing of Diomedes Díaz,"March 30, 2022",1 h 42 min,Spanish
Trust No One: The Hunt for the Crypto King,"March 30, 2022",1 h 30 min,English
Return to Space,"April 7, 2022",2 h 8 min,English
White Hot: The Rise & Fall of Abercrombie & Fitch,"April 19, 2022",1 h 28 min,English
The Mystery of Marilyn Monroe: The Unheard Tapes,"April 27, 2022",1 h 41 min,English
Hold Your Breath: The Ice Dive,"May 3, 2022",40 min,English
Our Father,"May 11, 2022",1 h 37 min,English
Cyber Hell: Exposing an Internet Horror,"May 18, 2022",1 h 45 min,Korean
The Photographer: Murder in Pinamar,"May 19, 2022",1 h 46 min,Spanish
Gladbeck: The Hostage Crisis,"June 8, 2022",1 h 31 min,German
Jennifer Lopez: Halftime,"June 14, 2022",1 h 36 min,English
"Sing, Dance, Act: Kabuki featuring Toma Ikuta","June 16, 2022",1 h 27 min,Japanese
The Martha Mitchell Effect,"June 17, 2022",40 min,English
Civil: Ben Crump,"June 19, 2022",1 h 41 min,English
Girl in the Picture,"July 6, 2022",1 h 42 min,English
My Daughter's Killer,"July 12, 2022",1 h 24 min,French
Never Stop Dreaming: The Life and Legacy of Shimon Peres,"July 13, 2022",2 h 9 min,English
Bank Robbers: The Last Great Heist,"August 10, 2022",1 h 50 min,Spanish
Stay on Board: The Leo Baker Story,"August 11, 2022",1 h 13 min,English
Inside the Mind of a Cat,"August 18, 2022",1 h 7 min,English
Untold: The Rise and Fall of AND1,"August 23, 2022",1 h 9 min,English
Running with the Devil: The Wild World of John McAfee,"August 24, 2022",1 h 45 min,English
The Figo Affair: The Transfer that Changed Football,"August 25, 2022",1 h 44 min,Spanish
Untold: Operation Flagrant Foul,"August 30, 2022",1 h 17 min,English
Get Smart With Money,"September 6, 2022",1 h 33 min,English
Untold: The Race of the Century,"September 6, 2022",1 h 23 min,English
The Anthrax Attacks,"September 8, 2022",1 h 35 min,English
Skandal! Bringing Down Wirecard,"September 16, 2022",1 h 33 min,English
The Dreamlife of Georgie Stone,"September 22, 2022",29 min,English
A Trip to Infinity,"September 26, 2022",1 h 19 min,English
Into the Deep: The Submarine Murder Case,"September 30, 2022",1 h 27 min,English
The Trapped 13: How We Survived The Thai Cave,"October 5, 2022",1 h 43 min,Thai
The Joys and Sorrows of Young Yuguo,"October 6, 2022",28 min,English
The Redeem Team,"October 7, 2022",1 h 38 min,English
LiSA: Another Great Day,"October 18, 2022",1 h 37 min,Japanese
Descendant,"October 21, 2022",1 h 49 min,English
Fugitive: The Curious Case of Carlos Ghosn,"October 26, 2022",1 h 35 min,English
Orgasm Inc: The Story of OneTaste,"November 5, 2022",1 h 29 min,English
State of Alabama vs. Brittany Smith,"November 10, 2022",40 min,English
Capturing the Killer Nurse,"November 11, 2022",1 h 35 min,English
Is That Black Enough for You?!?,"November 11, 2022",2 h 15 min,English
Stutz,"November 14, 2022",1 h 36 min,English
In Her Hands,"November 16, 2022",1 h 33 min,English
Racionais MC's: From the Streets of São Paulo,"November 16, 2022",1 h 56 min,Portuguese
I Am Vanessa Guillen,"November 17, 2022",1 h 36 min,English
Ghislaine Maxwell: Filthy Rich,"November 25, 2022",1 h 41 min,English
The Last Dolphin King,"November 25, 2022",1 h 34 min,Spanish
Take Your Pills: Xanax,"November 30, 2022",1 h 30 min,English
The Masked Scammer,"December 1, 2022",1 h 30 min,English
"""Sr.""","December 2, 2022",1 h 30 min,English
In Broad Daylight: The Narvarte Case,"December 8, 2022",1 h 48 min,Spanish
The Elephant Whisperers,"December 8, 2022",41 min,Tamil
Kangaroo Valley,"December 14, 2022",1 h 16 min,English
The Volcano: Rescue from Whakaari,"December 16, 2022",1 h 38 min,English
Mumbai Mafia: Police vs The Underworld,"January 6, 2023",1 h 27 min,English
The Hatchet Wielding Hitchhiker,"January 10, 2023",1 h 25 min,English
Big Mäck: Gangsters and Gold,"January 20, 2023",1 h 30 min,German
"Pamela, a Love Story","January 31, 2023",1 h 52 min,English
Money Shot: The Pornhub Story,"March 15, 2023",1 h 34 min,English
Caught Out: Crime. Corruption. Cricket.,"March 17, 2023",1 h 17 min,English
Lewis Capaldi: How I'm Feeling Now,"April 5, 2023",1 h 36 min,English
Longest Third Date,"April 18, 2023",1 h 15 min,English
Anna Nicole Smith: You Don't Know Me,"May 16, 2023",1 h 56 min,English
Victim/Suspect,"May 23, 2023",1 h 35 min,English
Take Care of Maya,"June 19, 2023",1 h 43 min,English
King of Clones,"June 23, 2023",1 h 25 min,English
Eldorado: Everything the Nazis Hate,"June 28, 2023",1 h 32 min,English
Unknown: The Lost Pyramid,"July 3, 2023",1 h 24 min,English
Wham!,"July 5, 2023",1 h 32 min,English
Unknown: Killer Robots,"July 10, 2023",1 h 8 min,English
Unknown: Cave of Bones,"July 17, 2023",1 h 34 min,English
The Deepest Breath,"July 19, 2023",1 h 50 min,English
Unknown: Cosmic Time Machine,"July 24, 2023",1 h 4 min,English
Missing: The Lucie Blackman Case[a],"July 26, 2023",1 h 22 min,English
Tokyo Crime Squad: The Lucie Blackman Case[b],"July 26, 2023",1 h 41 min,Japanese
The Lady of Silence: The Mataviejitas Murders,"July 27, 2023",1 h 51 min,Spanish
Untold: Jake Paul the Problem Child,"August 1, 2023",1 h 12 min,English
Mark Cavendish: Never Enough,"August 2, 2023",1 h 32 min,English
Poisoned: The Dirty Truth About Your Food,"August 2, 2023",1 h 22 min,English
Untold: Johnny Football,"August 8, 2023",1 h 12 min,English
Untold: Hall of Shame,"August 15, 2023",1 h 18 min,English
A Life Too Short: The Isabella Nardoni Case,"August 17, 2023",1 h 44 min,Portuguese
Scouts Honor: The Secret Files of the Boy Scouts of America,"September 6, 2023",1 h 34 min,English
Rosa Peral's Tapes,"September 8, 2023",1 h 20 min,Spanish
The Saint of Second Chances,"September 19, 2023",1 h 34 min,English
"Ice Cold: Murder, Coffee and Jessica Wongso","September 28, 2023",1 h 26 min,Indonesian
The Darkness within La Luz del Mundo,"September 28, 2023",1 h 54 min,Spanish
Race to the Summit,"October 4, 2023",1 h 30 min,German
Camp Courage,"October 15, 2023",33 min,Ukrainian
The Devil on Trial,"October 17, 2023",1 h 21 min,English
Vjeran Tomic: The Spider-Man of Paris,"October 20, 2023",1 h 26 min,French
Onefour: Against All Odds,"October 26, 2023",1 h 22 min,English
Yellow Door: '90s Lo-fi Film Club,"October 27, 2023",1 h 24 min,Korean
Higuita: The Way of the Scorpion,"November 2, 2023",1 h 30 min,Spanish
Sly,"November 3, 2023",1 h 36 min,English
Cyberbunker: The Criminal Underworld,"November 8, 2023",1 h 41 min,English
Stamped from the Beginning,"November 20, 2023",1 h 32 min,English
Ilary Blasi: The One and Only,"November 24, 2023",1 h 20 min,Italian
American Symphony,"November 29, 2023",1 h 43 min,English
Kevin Hart & Chris Rock: Headliners Only,"December 12, 2023",1 h 22 min,English
Face to Face with ETA: Conversations with a Terrorist,"December 15, 2023",1 h 42 min,Spanish
Curry & Cyanide: The Jolly Joseph Case,"December 22, 2023",1 h 35 min,Malayalam
Hell Camp: Teen Nightmare,"December 27, 2023",1 h 30 min,English
Bitconned,"January 1, 2024",1 h 34 min,English
The Greatest Night in Pop,"January 29, 2024",1 h 37 min,English
"Lover, Stalker, Killer","February 9, 2024",1 h 30 min,English
Einstein and the Bomb,"February 16, 2024",1 h 16 min,English
You Are Not Alone: Fighting the Wolf Pack,"March 1, 2024",1 h 42 min,Spanish
To Kill a Tiger,"March 10, 2024",2 h 7 min,Hindi
The Antisocial Network: Memes to Mayhem,"April 5, 2024",1 h 25 min,English
What Jennifer Did,"April 10, 2024",1 h 27 min,English
The Doomsday Cult of Antares de la Luz,"April 25, 2024",1 h 40 min,Spanish
Hack Your Health: The Secrets of Your Gut,"April 26, 2024",1 h 19 min,English
Secrets of the Neanderthals,"May 2, 2024",1 h 20 min,English
The Final: Attack on Wembley,"May 8, 2024",1 h 22 min,English
The Guardian of the Monarchs,"May 9, 2024",1 h 31 min,Spanish
Living with Leopards,"May 10, 2024",1 h 11 min,English
Power,"May 17, 2024",1 h 28 min,English
Illusions for Sale: The Rise and Fall of Generation Zoe,"May 23, 2024",1 h 47 min,Spanish
How to Rob a Bank,"June 5, 2024",1 h 28 min,English
Nelma Kodama: The Queen of Dirty Money,"June 6, 2024",1 h 34 min,Portuguese
Rafa Márquez: El Capitán,"June 6, 2024",1 h 22 min,Spanish
Mysteries of the Terracotta Warriors,"June 12, 2024",1 h 17 min,English
Outstanding: A Comedy Revolution,"June 18, 2024",1 h 39 min,English
Black Barbie: A Documentary,"June 19, 2024",1 h 53 min,English
The Accidental Twins,"June 20, 2024",1 h 24 min,Spanish
Skywalkers: A Love Story,"July 19, 2024",1 h 40 min,English
Mountain Queen: The Summits of Lhakpa Sherpa,"July 31, 2024",1 h 44 min,English
"Mon Laferte, te amo","August 1, 2024",1 h 18 min,Spanish
Modern Masters: S. S. Rajamouli,"August 2, 2024",1 h 14 min,English
Inside the Mind of a Dog,"August 9, 2024",1 h 15 min,English
Daughters,"August 14, 2024",1 h 48 min,English
Untold: The Murder of Air McNair,"August 20, 2024",58 min,English
Secret Lives of Orangutans,"August 22, 2024",1 h 19 min,English
Untold: Sign Stealer,"August 27, 2024",1 h 27 min,English
Untold: Hope Solo vs. U.S. Soccer,"September 3, 2024",1 h 14 min,English
Apollo 13: Survival,"September 5, 2024",1 h 38 min,English
Jailbreak: Love on the Run,"September 25, 2024",1 h 28 min,English
An Invisible Victim: The Eliza Samudio Case,"September 26, 2024",1 h 41 min,Portuguese
Will & Harper,"September 27, 2024",1 h 54 min,English
The Menendez Brothers,"October 7, 2024",1 h 58 min,English
Breaking the Silence: The Maria Soledad Case,"October 10, 2024",1 h 35 min,Spanish
Sweet Bobby: My Catfish Nightmare,"October 16, 2024",1 h 22 min,English
The Turnaround,"October 18, 2024",25 min,English
The Remarkable Life of Ibelin,"October 25, 2024",1 h 43 min,English
Martha,"October 30, 2024",1 h 53 min,English
It's All Over: The Kiss That Changed Spanish Football,"November 1, 2024",1 h 35 min,Spanish
Return of the King: The Fall and Rise of Elvis Presley,"November 13, 2024",1 h 31 min,English
The Lost Children,"November 14, 2024",1 h 36 min,Spanish
Nayanthara: Beyond the Fairytale,"November 17, 2024",1 h 22 min,English
Buy Now: The Shopping Conspiracy,"November 20, 2024",1 h 24 min,English
The Only Girl in the Orchestra,"December 4, 2024",35 min,English
Biggest Heist Ever,"December 6, 2024",1 h 27 min,English
Makayla's Voice: A Letter to the World,"December 11, 2024",24 min,English
Julia's Stepping Stone,"December 18, 2024",32 min,English
Yo Yo Honey Singh: Famous,"December 20, 2024",1 h 20 min,Hindi
Avicii – I'm Tim,"December 31, 2024",1 h 36 min,English
Don't Die: The Man Who Wants to Live Forever,"January 1, 2025",1 h 29 min,English
Miss Italia Mustn't Die,"February 26, 2025",1 h 38 min,Italian
Larissa: The Other Side of Anitta,"March 6, 2025",1 h 40 min,Portuguese
Chaos: The Manson Murders,"March 7, 2025",1 h 36 min,English
The Twister: Caught in the Storm,"March 19, 2025",1 h 29 min,English
Con Mum,"March 25, 2025",1 h 28 min,English
Awaiting release,Awaiting release,Awaiting release,Awaiting release
Oklahoma City Bombing: American Terror[5],"April 18, 2025",TBA,English
Pangolin: Kulu’s Journey[5],"April 21, 2025",TBA,English
