Title,Release date,Genre,Runtime,Language
Paradox,"March 23, 2018",Musical / Western / Fantasy,1 h 13 min,English
Roxanne Roxanne,"March 23, 2018",Musical drama,1 h 40 min,English
Happy Anniversary,"March 30, 2018",Romantic comedy,1 h 18 min,English
First Match,"March 30, 2018",Sports-drama,1 h 42 min,English
6 Balloons,"April 6, 2018",Drama,1 h 15 min,English
Amateur,"April 6, 2018",Sports-drama,1 h 36 min,English
Come Sunday,"April 13, 2018",Biopic,1 h 45 min,English
I Am Not an Easy Man,"April 13, 2018",Romantic comedy,1 h 38 min,French
Dude,"April 20, 2018",Teen comedy-drama,1 h 37 min,English
Candy Jar,"April 27, 2018",Romantic comedy,1 h 32 min,English
The Week Of,"April 27, 2018",Comedy,1 h 56 min,English
Sometimes,"May 1, 2018",Drama,1 h 41 min,Tamil
Forgive Us Our Debts,"May 4, 2018",Drama,1 h 44 min,Italian
The Kissing Booth,"May 11, 2018",Teen romantic comedy,1 h 46 min,English
Cargo,"May 18, 2018",Drama / Horror,1 h 44 min,English
Ibiza,"May 25, 2018",Comedy,1 h 34 min,English
Sara's Notebook,"May 25, 2018",Drama,1 h 56 min,Spanish
Alex Strangelove,"June 8, 2018",Romantic comedy,1 h 39 min,English
Set It Up,"June 15, 2018",Romantic comedy,1 h 45 min,English
Lust Stories,"June 15, 2018",Drama anthology,2 h,Hindi
"To Each, Her Own","June 24, 2018",Romantic comedy,1 h 35 min,French
Calibre,"June 29, 2018",Thriller,1 h 41 min,English
TAU,"June 29, 2018",Science fiction thriller,1 h 37 min,English
The Legacy of a Whitetail Deer Hunter,"July 6, 2018",Adventure comedy,1 h 23 min,English
How It Ends,"July 13, 2018",Action-thriller,1 h 53 min,English
Father of the Year,"July 20, 2018",Comedy,1 h 34 min,English
Duck Duck Goose,"July 20, 2018",Animated comedy,1 h 32 min,English
Extinction,"July 27, 2018",Science fiction thriller,1 h 35 min,English
Brij Mohan Amar Rahe,"August 3, 2018",Action comedy,1 h 40 min,Hindi
Like Father,"August 3, 2018",Comedy drama,1 h 43 min,English
The Package,"August 10, 2018",Black comedy,1 h 34 min,English
To All the Boys I've Loved Before,"August 17, 2018",Teen romantic comedy,1 h 40 min,English
The After Party,"August 24, 2018",Comedy,1 h 29 min,English
Sierra Burgess Is a Loser,"September 7, 2018",Teen romantic comedy-drama,1 h 46 min,English
The Most Assassinated Woman in the World,"September 7, 2018",Mystery,1 h 42 min,French
On My Skin,"September 12, 2018",Crime drama,1 h 40 min,Italian
The Land of Steady Habits,"September 14, 2018",Comedy drama,1 h 38 min,English
The Angel,"September 14, 2018",Spy thriller,1 h 54 min,English
Nappily Ever After,"September 21, 2018",Comedy drama,1 h 38 min,English
Hold the Dark,"September 28, 2018",Action thriller,2 h 5 min,English
Private Life,"October 5, 2018",Drama,2 h 4 min,English
22 July,"October 10, 2018",Crime drama,2 h 24 min,English
Apostle,"October 12, 2018",Horror,2 h 10 min,English
The Night Comes for Us,"October 19, 2018",Action-thriller,2 h,Indonesian
Been So Long,"October 26, 2018",Musical,1 h 40 min,English
The Holiday Calendar,"November 2, 2018",Christmas romantic comedy,1 h 35 min,English
The Other Side of the Wind,"November 2, 2018",Drama,2 h 2 min,English
Outlaw King,"November 9, 2018",Historical-epic,2 h 1 min,English
The Princess Switch,"November 16, 2018",Christmas romantic comedy,1 h 42 min,English
Cam,"November 16, 2018",Psychological horror,1 h 34 min,English
The Ballad of Buster Scruggs,"November 16, 2018",Western anthology,2 h 13 min,English
The Christmas Chronicles,"November 22, 2018",Christmas / Fantasy / Adventure / Comedy,1 h 45 min,English
A Christmas Prince: The Royal Wedding,"November 30, 2018",Christmas romantic comedy,1 h 33 min,English
Rajma Chawal,"November 30, 2018",Comedy drama,1 h 58 min,Hindi
5 Star Christmas,"December 7, 2018",Christmas comedy,1 h 35 min,Italian
Mowgli: Legend of the Jungle,"December 7, 2018",Adventure,1 h 44 min,English
Roma,"December 14, 2018",Drama,2 h 14 min,Spanish
Bird Box,"December 21, 2018",Psychological thriller,2 h 4 min,English
Lionheart,"January 4, 2019",Drama,1 h 34 min,English
The Last Laugh,"January 11, 2019",Comedy,1 h 38 min,English
IO,"January 18, 2019",Science fiction,1 h 36 min,English
Soni,"January 18, 2019",Crime drama,1 h 37 min,Hindi
Polar,"January 25, 2019",Action,1 h 58 min,English
Velvet Buzzsaw,"February 1, 2019",Dark comedy horror,1 h 52 min,English
High Flying Bird,"February 8, 2019",Sports-drama,1 h 30 min,English
Firebrand,"February 22, 2019",Drama,1 h 56 min,Marathi
Paris Is Us,"February 22, 2019",Romance drama,1 h 24 min,French
Paddleton,"February 22, 2019",Comedy drama,1 h 29 min,English
Walk. Ride. Rodeo.,"March 8, 2019",Biopic,1 h 39 min,English
Juanita,"March 8, 2019",Drama,1 h 30 min,English
Triple Frontier,"March 13, 2019",Action-adventure,2 h 5 min,English
Altered Carbon: Resleeved,"March 19, 2020",Anime/Science fiction,1 h 14 min,Japanese
The Dirt,"March 22, 2019",Biographical comedy,1 h 48 min,English
The Highwaymen,"March 29, 2019",Crime drama,2 h 12 min,English
15 August,"March 29, 2019",Comedy drama,2 h 4 min,Marathi
Unicorn Store,"April 5, 2019",Comedy drama,1 h 31 min,English
Who Would You Take to a Deserted Island?,"April 12, 2019",Drama,1 h 33 min,Spanish
The Perfect Date,"April 12, 2019",Teen romantic comedy,1 h 30 min,English
Someone Great,"April 19, 2019",Romantic comedy,1 h 32 min,English
Music Teacher,"April 19, 2019",Drama,1 h 41 min,Hindi
Despite Everything,"May 3, 2019",Comedy,1 h 18 min,Spanish
The Last Summer,"May 3, 2019",Teen romantic comedy,1 h 49 min,English
Wine Country,"May 10, 2019",Comedy,1 h 43 min,English
Good Sam,"May 16, 2019",Drama,1 h 30 min,English
See You Yesterday,"May 17, 2019",Science fiction,1 h 27 min,English
Rim of the World,"May 24, 2019",Science fiction adventure,1 h 39 min,English
The Perfection,"May 24, 2019",Horror thriller,1 h 30 min,English
Always Be My Maybe,"May 31, 2019",Romantic comedy,1 h 42 min,English
Chopsticks,"May 31, 2019",Comedy,1 h 40 min,Hindi
Elisa & Marcela,"June 7, 2019",Biographical romance,1 h 58 min,Spanish
Murder Mystery,"June 14, 2019",Comedy mystery,1 h 37 min,English
Beats,"June 19, 2019",Coming-of-age drama,1 h 50 min,English
Point Blank,"July 12, 2019",Action,1 h 26 min,English
Secret Obsession,"July 18, 2019",Thriller,1 h 37 min,English
The Red Sea Diving Resort,"July 31, 2019",Spy thriller,2 h 10 min,English
Otherhood,"August 2, 2019",Comedy,1 h 40 min,English
Jaoon Kahan Bata Ae Dil,"August 9, 2019",Romantic drama,1 h 46 min,Hindi
Invader Zim: Enter the Florpus,"August 16, 2019",Animation / Science fiction,1 h 11 min,English
Sextuplets,"August 16, 2019",Comedy,1 h 39 min,English
Falling Inn Love,"August 29, 2019",Romantic comedy,1 h 38 min,English
Back to School,"August 30, 2019",Comedy,1 h 23 min,French
Tall Girl,"September 13, 2019",Teen comedy drama,1 h 42 min,English
Between Two Ferns: The Movie,"September 20, 2019",Comedy,1 h 22 min,English
In the Shadow of the Moon,"September 27, 2019",Science fiction thriller,1 h 55 min,English
In the Tall Grass,"October 4, 2019",Horror,1 h 41 min,English
El Camino: A Breaking Bad Movie,"October 11, 2019",Crime drama,2 h 2 min,English
Fractured,"October 11, 2019",Thriller,1 h 40 min,English
The Forest of Love,"October 11, 2019",Crime thriller,2 h 31 min,Japanese
Street Flow,"October 12, 2019",Drama,1 h 36 min,French
Eli,"October 18, 2019",Horror,1 h 38 min,English
Seventeen,"October 18, 2019",Coming-of-age comedy drama,1 h 39 min,Spanish
The Laundromat,"October 18, 2019",Biographical comedy drama,1 h 36 min,English
Upstarts,"October 18, 2019",Comedy drama,1 h 52 min,Hindi
Dolemite Is My Name,"October 25, 2019",Biopic,1 h 58 min,English
Rattlesnake,"October 25, 2019",Horror,1 h 25 min,English
The King,"November 1, 2019",Historical drama,2 h 20 min,English
American Son,"November 1, 2019",Drama,1 h 30 min,English
Drive,"November 1, 2019",Action,1 h 59 min,Hindi
Holiday in the Wild,"November 1, 2019",Christmas adventure-romance,1 h 26 min,English
Let It Snow,"November 8, 2019",Christmas romantic comedy,1 h 33 min,English
Earthquake Bird,"November 15, 2019",Thriller,1 h 46 min,English
House Arrest,"November 15, 2019",Comedy,1 h 44 min,Hindi
Klaus,"November 15, 2019",Animation / Christmas / Comedy / Adventure,1 h 38 min,English
The Knight Before Christmas,"November 21, 2019",Christmas romantic comedy,1 h 32 min,English
The Irishman,"November 27, 2019",Crime drama,3 h 29 min,English
Holiday Rush,"November 28, 2019",Christmas-family,1 h 34 min,English
Dead Kids,"December 1, 2019",Thriller,1 h 34 min,Filipino
A Christmas Prince: The Royal Baby,"December 5, 2019",Christmas romantic comedy,1 h 25 min,English
Marriage Story,"December 6, 2019",Drama,2 h 16 min,English
6 Underground,"December 13, 2019",Action,2 h 8 min,English
The Two Popes,"December 20, 2019",Biographical drama,2 h 5 min,English
Como caído del cielo,"December 24, 2019",Comedy,1 h 57 min,Spanish
The App,"December 26, 2019",Science fiction drama,1 h 19 min,Italian
Ghost Stories,"January 1, 2020",Horror anthology,2 h 24 min,Hindi
A Fall from Grace,"January 17, 2020",Thriller,2 h,English
Airplane Mode,"January 23, 2020",Comedy,1 h 36 min,Portuguese
Horse Girl,"February 7, 2020",Psychological drama,1 h 44 min,English
To All the Boys: P.S. I Still Love You,"February 12, 2020",Teen romantic comedy,1 h 42 min,English
Isi & Ossi,"February 14, 2020",Romantic comedy,1 h 53 min,German
The Last Thing He Wanted,"February 21, 2020",Political thriller,1 h 55 min,English
Yeh Ballet,"February 21, 2020",Drama,1 h 57 min,Hindi
All the Bright Places,"February 28, 2020",Teen romance,1 h 48 min,English
Guilty,"March 6, 2020",Thriller drama,1 h 59 min,Hindi
Spenser Confidential,"March 6, 2020",Action comedy,1 h 51 min,English
Lost Girls,"March 13, 2020",Crime drama,1 h 35 min,English
Ultras,"March 20, 2020",Sports,1 h 49 min,Italian
The Occupant,"March 25, 2020",Thriller,1 h 43 min,Spanish
Maska,"March 27, 2020",Romantic comedy,1 h 51 min,Hindi
The Decline,"March 27, 2020",Action thriller,1 h 23 min,French
Uncorked,"March 27, 2020",Drama,1 h 44 min,English
Coffee & Kareem,"April 3, 2020",Action comedy,1 h 28 min,English
The Main Event,"April 10, 2020",Sports comedy,1 h 43 min,English
Love Wedding Repeat,"April 10, 2020",Romantic comedy,1 h 40 min,English
Tigertail,"April 10, 2020",Drama,1 h 31 min,English
Earth and Blood,"April 17, 2020",Action,1 h 20 min,French
Rising High,"April 17, 2020",Satire drama,1 h 34 min,German
Sergio,"April 17, 2020",Biopic,1 h 58 min,English
The Willoughbys,"April 22, 2020",Animated comedy,1 h 32 min,English
Time to Hunt,"April 23, 2020",Action thriller,2 h 15 min,Korean
Extraction,"April 24, 2020",Action,1 h 57 min,English
Dangerous Lies,"April 30, 2020",Thriller,1 h 37 min,English
Rich in Love,"April 30, 2020",Romantic comedy,1 h 45 min,Portuguese
All Day and a Night,"May 1, 2020",Drama,2 h 1 min,English
Mrs. Serial Killer,"May 1, 2020",Crime,1 h 47 min,Hindi
The Half of It,"May 1, 2020",Teen romance,1 h 45 min,English
The Wrong Missy,"May 13, 2020",Black comedy,1 h 30 min,English
The Lovebirds,"May 22, 2020",Romantic comedy,1 h 27 min,English
I'm No Longer Here,"May 27, 2020",Drama,1 h 52 min,Spanish
Intuition,"May 28, 2020",Crime thriller,1 h 56 min,Spanish
Choked: Paisa Bolta Hai,"June 5, 2020",Drama,1 h 54 min,Hindi
The Last Days of American Crime,"June 5, 2020",Heist thriller,2 h 29 min,English
Da 5 Bloods,"June 12, 2020",War drama,2 h 35 min,English
A Whisker Away,"June 18, 2020",Anime fantasy,1 h 45 min,Japanese
Feel the Beat,"June 19, 2020",Family / Comedy drama,1 h 49 min,English
Lost Bullet,"June 19, 2020",Action,1 h 33 min,French
One-Way to Tomorrow,"June 19, 2020",Romantic drama,1 h 30 min,Turkish
Bulbbul,"June 24, 2020",Horror,1 h 34 min,Hindi
Nobody Knows I'm Here,"June 24, 2020",Drama,1 h 31 min,Spanish
Eurovision Song Contest: The Story of Fire Saga,"June 26, 2020",Musical comedy,2 h 3 min,English
Under the Riccione Sun,"July 1, 2020",Romantic teenage drama,1 h 42 min,Italian
Desperados,"July 3, 2020",Romantic comedy,1 h 46 min,English
The Old Guard,"July 10, 2020",Superhero,2 h 5 min,English
The Players,"July 15, 2020",Comedy,1 h 28 min,Italian
Fatal Affair,"July 16, 2020",Psychological thriller,1 h 29 min,English
Offering to the Storm,"July 24, 2020",Crime thriller,2 h 19 min,Spanish
The Kissing Booth 2,"July 24, 2020",Teen romantic comedy,2 h 12 min,English
Seriously Single,"July 31, 2020",Comedy,1 h 47 min,English
Raat Akeli Hai,"July 31, 2020",Thriller,2 h 29 min,Hindi
Work It,"August 7, 2020",Dance comedy,1 h 33 min,English
Gunjan Saxena: The Kargil Girl,"August 12, 2020",Biographical drama,1 h 52 min,Hindi
Project Power,"August 14, 2020",Superhero,1 h 53 min,English
Fearless,"August 14, 2020",Animation / Superhero,1 h 31 min,English
Crazy Awesome Teachers,"August 17, 2020",Comedy drama,1 h 41 min,Indonesian
The Crimes That Bind,"August 20, 2020",Crime drama,1 h 39 min,Spanish
The Sleepover,"August 21, 2020",Action comedy,1 h 43 min,English
Class of '83,"August 21, 2020",Crime / Drama,1 h 38 min,Hindi
Dark Forces,"August 21, 2020",Thriller,1 h 21 min,Spanish
All Together Now,"August 28, 2020",Drama,1 h 33 min,English
Unknown Origins,"August 28, 2020",Thriller,1 h 36 min,Spanish
Freaks – You're One of Us,"September 2, 2020",Supernatural drama,1 h 32 min,German
"Love, Guaranteed","September 3, 2020",Romantic comedy,1 h 31 min,English
I'm Thinking of Ending Things,"September 4, 2020",Psychological thriller,2 h 14 min,English
The Babysitter: Killer Queen,"September 10, 2020",Comedy / Horror,1 h 42 min,English
Dad Wanted,"September 11, 2020",Family,1 h 43 min,Spanish
The Devil All The Time,"September 16, 2020",Psychological thriller,2 h 18 min,English
The Paramedic,"September 16, 2020",Thriller,1 h 34 min,Spanish
Dolly Kitty Aur Woh Chamakte Sitare,"September 18, 2020",Drama,2 h,Hindi
Whipped,"September 18, 2020",Romantic comedy,1 h 37 min,Indonesian
The Boys in the Band,"September 30, 2020",Drama,2 h 2 min,English
All Because of You,"October 1, 2020",Action comedy,1 h 41 min,Malay
Òlòtūré,"October 2, 2020",Crime drama,1 h 46 min,English
Serious Men,"October 2, 2020",Comedy drama,1 h 54 min,Hindi
The Binding,"October 2, 2020",Horror,1 h 33 min,Italian
Vampires vs. the Bronx,"October 2, 2020",Horror comedy,1 h 25 min,English
You've Got This,"October 2, 2020",Romantic comedy,1 h 51 min,Spanish
Hubie Halloween,"October 7, 2020",Comedy,1 h 43 min,English
Ginny Weds Sunny,"October 9, 2020",Romantic comedy,2 h 5 min,Hindi
The Forty-Year-Old Version,"October 9, 2020",Comedy drama,2 h 4 min,English
A Babysitter's Guide to Monster Hunting,"October 15, 2020",Comedy / Fantasy / Family,1 h 38 min,English
Love Like the Falling Rain,"October 15, 2020",Teen romantic drama,1 h 26 min,Indonesian
The Trial of the Chicago 7,"October 16, 2020",Historical legal drama,2 h 10 min,English
Rebecca,"October 21, 2020",Romantic thriller,2 h 3 min,English
Cadaver,"October 22, 2020",Horror,1 h 26 min,Norwegian
Over the Moon,"October 23, 2020",Animated musical fantasy,1 h 40 min,English
Holidate,"October 28, 2020",Christmas romantic comedy,1 h 44 min,English
Nobody Sleeps in the Woods Tonight,"October 28, 2020",Horror,1 h 43 min,Polish
His House,"October 30, 2020",Thriller,1 h 33 min,English
Kaali Khuhi,"October 30, 2020",Horror,1 h 30 min,Hindi
Rogue City,"October 30, 2020",Crime,1 h 56 min,French
The Day of the Lord,"October 30, 2020",Horror,1 h 33 min,Spanish
Operation Christmas Drop,"November 5, 2020",Christmas romantic comedy,1 h 36 min,English
Citation,"November 6, 2020",Drama,2 h 31 min,English
What We Wanted,"November 11, 2020",Drama,1 h 33 min,German
Ludo,"November 12, 2020",Anthology / Dark comedy,2 h 30 min,Hindi
Jingle Jangle: A Christmas Journey,"November 13, 2020",Family / Christmas musical,1 h 59 min,English
The Life Ahead,"November 13, 2020",Drama,1 h 35 min,Italian
The Princess Switch: Switched Again,"November 19, 2020",Christmas romantic comedy,1 h 37 min,English
Christmas on the Square,"November 22, 2020",Christmas musical,1 h 38 min,English
Hillbilly Elegy,"November 24, 2020",Drama,1 h 57 min,English
Notes for My Son,"November 24, 2020",Drama,1 h 23 min,Spanish
The Christmas Chronicles: Part Two,"November 25, 2020",Christmas comedy,1 h 55 min,English
The Beast,"November 27, 2020",Action thriller,1 h 39 min,Italian
The Call,"November 27, 2020",Psychological thriller,1 h 52 min,Korean
Finding Agnes,"November 30, 2020",Drama,1 h 45 min,Filipino
Just Another Christmas,"December 3, 2020",Christmas comedy,1 h 41 min,Portuguese
Christmas Crossfire,"December 4, 2020",Christmas thriller,1 h 46 min,German
Leyla Everlasting,"December 4, 2020",Comedy,1 h 52 min,Turkish
Mank,"December 4, 2020",Biopic,2 h 12 min,English
The Claus Family,"December 7, 2020",Christmas fantasy,1 h 37 min,Dutch
Rose Island,"December 9, 2020",Comedy drama,1 h 58 min,Italian
The Prom,"December 11, 2020",Musical,2 h 12 min,English
A California Christmas,"December 14, 2020",Christmas romantic comedy,1 h 47 min,English
Ma Rainey's Black Bottom,"December 18, 2020",Drama,1 h 34 min,English
The Midnight Sky,"December 23, 2020",Science fiction,1 h 58 min,English
AK vs AK,"December 24, 2020",Black comedy thriller,1 h 49 min,Hindi
We Can Be Heroes,"December 25, 2020",Superhero,1 h 40 min,English
What Happened to Mr. Cha?,"January 1, 2021",Comedy,1 h 42 min,Korean
Pieces of a Woman,"January 7, 2021",Drama,2 h 6 min,English
Stuck Apart,"January 8, 2021",Drama,1 h 36 min,Turkish
The Heartbreak Club,"January 14, 2021",Comedy drama,1 h 41 min,Indonesian
Double Dad,"January 15, 2021",Comedy drama,1 h 45 min,Portuguese
Outside the Wire,"January 15, 2021",Action / science fiction,1 h 55 min,English
Tribhanga – Tedhi Medhi Crazy,"January 15, 2021",Drama,1 h 35 min,Hindi
The White Tiger,"January 22, 2021",Drama,2 h 5 min,English
June & Kopi,"January 28, 2021",Drama,1 h 30 min,Indonesian
Finding ʻOhana,"January 29, 2021",Family,2 h 3 min,English
The Dig,"January 29, 2021",Drama,1 h 52 min,English
Below Zero,"January 29, 2021",Drama,1 h 46 min,Spanish
The Last Paradiso,"February 5, 2021",Romantic drama,1 h 47 min,Italian
Malcolm & Marie,"February 5, 2021",Romantic drama,1 h 46 min,English
Space Sweepers,"February 5, 2021",Science fiction,2 h 16 min,Korean
The Misadventures of Hedi and Cokeman,"February 10, 2021",Comedy,1 h 39 min,French
Red Dot,"February 11, 2021",Thriller,1 h 26 min,Swedish
Squared Love,"February 11, 2021",Romantic comedy,1 h 42 min,Polish
To All the Boys: Always and Forever,"February 12, 2021",Romantic comedy,1 h 55 min,English
Geez & Ann,"February 25, 2021",Romantic drama,1 h 45 min,Indonesian
Crazy About Her,"February 26, 2021",Romantic comedy,1 h 42 min,Spanish
The Girl on the Train,"February 26, 2021",Thriller,2 h,Hindi
Moxie,"March 3, 2021",Drama,1 h 51 min,English
Sentinelle,"March 5, 2021",Action,1 h 20 min,French
Yes Day,"March 12, 2021",Comedy,1 h 29 min,English
Paper Lives,"March 12, 2021",Drama,1 h 37 min,Turkish
Get the Goat,"March 18, 2021",Comedy,1 h 38 min,Portuguese
Caught by a Wave,"March 25, 2021",Romantic teen drama,1 h 39 min,Italian
A Week Away,"March 26, 2021",Christian musical,1 h 37 min,English
Bad Trip,"March 26, 2021",Hidden-camera prank comedy,1 h 26 min,English
Pagglait,"March 26, 2021",Comedy drama,1 h 54 min,Hindi
Tersanjung the Movie,"April 1, 2021",Drama,1 h 54 min,Indonesian
Concrete Cowboy,"April 2, 2021",Drama,1 h 51 min,English
Just Say Yes,"April 2, 2021",Romantic comedy,1 h 37 min,Dutch
Madame Claude,"April 2, 2021",Drama,1 h 52 min,French
Have You Ever Seen Fireflies?,"April 9, 2021",Comedy,1 h 54 min,Turkish
Night in Paradise,"April 9, 2021",Drama,2 h 12 min,Korean
Thunder Force,"April 9, 2021",Superhero comedy,1 h 47 min,English
Prime Time,"April 14, 2021",Thriller,1 h 32 min,Polish
Ride or Die,"April 15, 2021",Psychological thriller drama,2 h 22 min,Japanese
Ajeeb Daastaans,"April 16, 2021",Drama,2 h 22 min,Hindi
Get the Grift,"April 28, 2021",Comedy,1 h 35 min,Portuguese
Things Heard & Seen,"April 29, 2021",Horror,2 h 1 min,English
The Disciple,"April 30, 2021",Drama,2 h 8 min,Marathi
Milestone,"May 7, 2021",Drama,1 h 37 min,Hindi
Monster,"May 7, 2021",Drama,1 h 39 min,English
Oxygen,"May 12, 2021",Science fiction thriller,1 h 41 min,French
Ferry,"May 14, 2021",Crime drama,1 h 47 min,Dutch
I Am All Girls,"May 14, 2021",Thriller,1 h 47 min,English
The Woman in the Window,"May 14, 2021",Psychological thriller,1 h 41 min,English
Sardar Ka Grandson,"May 18, 2021",Comedy,2 h 19 min,Hindi
Army of the Dead,"May 21, 2021",Zombie/heist,2 h 28 min,English
Baggio: The Divine Ponytail,"May 26, 2021",Biopic,1 h 32 min,Italian
Ghost Lab,"May 26, 2021",Horror,1 h 57 min,Thai
Blue Miracle,"May 27, 2021",Drama,1 h 36 min,English
Carnaval,"June 2, 2021",Comedy,1 h 35 min,Portuguese
Dancing Queens,"June 3, 2021",Drama,1 h 51 min,Swedish
Sweet & Sour,"June 4, 2021",Romantic drama,1 h 42 min,Korean
Trippin' with the Kandasamys,"June 4, 2021",Comedy,1 h 33 min,English
Xtreme,"June 4, 2021",Action,1 h 52 min,Spanish
Awake,"June 9, 2021",Science fiction thriller,1 h 37 min,English
Tragic Jungle,"June 9, 2021",Drama,1 h 36 min,Spanish
Skater Girl,"June 11, 2021",Coming-of-age sports drama,1 h 49 min,Hindi
Ali & Ratu Ratu Queens,"June 17, 2021",Comedy drama,1 h 40 min,Indonesian
Jagame Thandhiram,"June 18, 2021",Action thriller,2 h 38 min,Tamil
Good on Paper,"June 23, 2021",Comedy,1 h 34 min,English
America: The Motion Picture,"June 30, 2021",Animation / comedy / historical fiction,1 h 38 min,English
Fear Street Part 1: 1994,"July 2, 2021",Teen horror / slasher,1 h 47 min,English
The 8th Night,"July 2, 2021",Thriller film,1 h 55 min,Korean
Haseen Dillruba,"July 2, 2021",Romantic thriller,2 h 15 min,Hindi
Fear Street Part 2: 1978,"July 9, 2021",Teen horror / slasher,1 h 50 min,English
Last Summer,"July 9, 2021",Romantic drama,1 h 41 min,Turkish
A Classic Horror Story,"July 14, 2021",Horror,1 h 35 min,Italian
